nohup: ignoring input
[NORMAL][1670774910][当前已经建立的索引文档: [4100]][index.hpp: 103]
[NORMAL][1670774910][当前已经建立的索引文档: [4150]][index.hpp: 103]
[NORMAL][1670774910][当前已经建立的索引文档: [4200]][index.hpp: 103]
[NORMAL][1670774910][当前已经建立的索引文档: [4250]][index.hpp: 103]
[NORMAL][1670774911][当前已经建立的索引文档: [4300]][index.hpp: 103]
[NORMAL][1670774912][当前已经建立的索引文档: [4350]][index.hpp: 103]
[NORMAL][1670774913][当前已经建立的索引文档: [4400]][index.hpp: 103]
[NORMAL][1670774922][当前已经建立的索引文档: [4450]][index.hpp: 103]
[NORMAL][1670774963][当前已经建立的索引文档: [4500]][index.hpp: 103]
[NORMAL][1670774995][当前已经建立的索引文档: [4550]][index.hpp: 103]
[NORMAL][1670775124][当前已经建立的索引文档: [4600]][index.hpp: 103]
[NORMAL][1670775176][当前已经建立的索引文档: [4650]][index.hpp: 103]
[NORMAL][1670775181][当前已经建立的索引文档: [4700]][index.hpp: 103]
[NORMAL][1670775272][当前已经建立的索引文档: [4750]][index.hpp: 103]
[NORMAL][1670775325][当前已经建立的索引文档: [4800]][index.hpp: 103]
[NORMAL][1670775331][当前已经建立的索引文档: [4850]][index.hpp: 103]
[NORMAL][1670775331][当前已经建立的索引文档: [4900]][index.hpp: 103]
[NORMAL][1670775417][当前已经建立的索引文档: [4950]][index.hpp: 103]
[NORMAL][1670775418][当前已经建立的索引文档: [5000]][index.hpp: 103]
[NORMAL][1670775422][当前已经建立的索引文档: [5050]][index.hpp: 103]
[NORMAL][1670775443][当前已经建立的索引文档: [5100]][index.hpp: 103]
[NORMAL][1670775445][当前已经建立的索引文档: [5150]][index.hpp: 103]
[NORMAL][1670775452][当前已经建立的索引文档: [5200]][index.hpp: 103]
[NORMAL][1670775456][当前已经建立的索引文档: [5250]][index.hpp: 103]
[NORMAL][1670775461][当前已经建立的索引文档: [5300]][index.hpp: 103]
[NORMAL][1670775462][当前已经建立的索引文档: [5350]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5400]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5450]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5500]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5550]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5600]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5650]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5700]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5750]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5800]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5850]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5900]][index.hpp: 103]
[NORMAL][1670775463][当前已经建立的索引文档: [5950]][index.hpp: 103]
[NORMAL][1670775464][当前已经建立的索引文档: [6000]][index.hpp: 103]
[NORMAL][1670775464][当前已经建立的索引文档: [6050]][index.hpp: 103]
[NORMAL][1670775464][当前已经建立的索引文档: [6100]][index.hpp: 103]
[NORMAL][1670775465][当前已经建立的索引文档: [6150]][index.hpp: 103]
[NORMAL][1670775465][当前已经建立的索引文档: [6200]][index.hpp: 103]
[NORMAL][1670775465][当前已经建立的索引文档: [6250]][index.hpp: 103]
[NORMAL][1670775465][当前已经建立的索引文档: [6300]][index.hpp: 103]
[NORMAL][1670775465][当前已经建立的索引文档: [6350]][index.hpp: 103]
[NORMAL][1670775465][当前已经建立的索引文档: [6400]][index.hpp: 103]
[NORMAL][1670775465][当前已经建立的索引文档: [6450]][index.hpp: 103]
[NORMAL][1670775465][当前已经建立的索引文档: [6500]][index.hpp: 103]
[NORMAL][1670775466][当前已经建立的索引文档: [6550]][index.hpp: 103]
[NORMAL][1670775466][当前已经建立的索引文档: [6600]][index.hpp: 103]
[NORMAL][1670775466][当前已经建立的索引文档: [6650]][index.hpp: 103]
[NORMAL][1670775467][当前已经建立的索引文档: [6700]][index.hpp: 103]
[NORMAL][1670775468][当前已经建立的索引文档: [6750]][index.hpp: 103]
[NORMAL][1670775472][当前已经建立的索引文档: [6800]][index.hpp: 103]
[NORMAL][1670775475][当前已经建立的索引文档: [6850]][index.hpp: 103]
[NORMAL][1670775475][当前已经建立的索引文档: [6900]][index.hpp: 103]
[NORMAL][1670775475][当前已经建立的索引文档: [6950]][index.hpp: 103]
[NORMAL][1670775475][当前已经建立的索引文档: [7000]][index.hpp: 103]
[NORMAL][1670775475][当前已经建立的索引文档: [7050]][index.hpp: 103]
[NORMAL][1670775476][当前已经建立的索引文档: [7100]][index.hpp: 103]
[NORMAL][1670775476][当前已经建立的索引文档: [7150]][index.hpp: 103]
[NORMAL][1670775476][当前已经建立的索引文档: [7200]][index.hpp: 103]
[NORMAL][1670775476][当前已经建立的索引文档: [7250]][index.hpp: 103]
[NORMAL][1670775476][当前已经建立的索引文档: [7300]][index.hpp: 103]
[NORMAL][1670775477][当前已经建立的索引文档: [7350]][index.hpp: 103]
[NORMAL][1670775477][当前已经建立的索引文档: [7400]][index.hpp: 103]
[NORMAL][1670775477][当前已经建立的索引文档: [7450]][index.hpp: 103]
[NORMAL][1670775477][当前已经建立的索引文档: [7500]][index.hpp: 103]
[NORMAL][1670775477][当前已经建立的索引文档: [7550]][index.hpp: 103]
[NORMAL][1670775478][当前已经建立的索引文档: [7600]][index.hpp: 103]
[NORMAL][1670775481][当前已经建立的索引文档: [7650]][index.hpp: 103]
[NORMAL][1670775481][当前已经建立的索引文档: [7700]][index.hpp: 103]
[NORMAL][1670775481][当前已经建立的索引文档: [7750]][index.hpp: 103]
[NORMAL][1670775482][当前已经建立的索引文档: [7800]][index.hpp: 103]
[NORMAL][1670775482][当前已经建立的索引文档: [7850]][index.hpp: 103]
[NORMAL][1670775482][当前已经建立的索引文档: [7900]][index.hpp: 103]
[NORMAL][1670775482][当前已经建立的索引文档: [7950]][index.hpp: 103]
[NORMAL][1670775483][当前已经建立的索引文档: [8000]][index.hpp: 103]
[NORMAL][1670775483][当前已经建立的索引文档: [8050]][index.hpp: 103]
[NORMAL][1670775484][当前已经建立的索引文档: [8100]][index.hpp: 103]
[NORMAL][1670775484][当前已经建立的索引文档: [8150]][index.hpp: 103]
[NORMAL][1670775484][当前已经建立的索引文档: [8200]][index.hpp: 103]
[NORMAL][1670775484][当前已经建立的索引文档: [8250]][index.hpp: 103]
[NORMAL][1670775485][当前已经建立的索引文档: [8300]][index.hpp: 103]
[NORMAL][1670775485][构建索引完成...][searcher.hpp: 31]
